fiyat;marka;seri;model;yil;km;vites;yakit;kasa;renk;motorHacmi;motorGucu;cekis;yakitTuketimi;yakitDeposu;boyaDegisen;takas;kimden
759.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2015;175.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;2 değişen, 8 boyalı;Takasa Uygun;Galeriden
1.250.000 TL;Audi;A3;A3 Cabrio 1.4 TFSI Ambition;2015;136.000 km;Yarı Otomatik;Benzin;Cabrio;Beyaz;1395 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.790.000 TL;Audi;A3;A3 Cabrio 1.5 TFSI;2018;53.000 km;Yarı Otomatik;Benzin;Cabrio;Mavi;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.060.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2017;220.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
939.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2014;88.550 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;2 boyalı;Takasa Uygun;Galeriden
995.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2013;194.978 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;3 boyalı;Takasa Uygun;Galeriden
1.185.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2018;117.610 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
758.500 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2012;240.000 km;Otomatik;Benzin;Hatchback/5;Beyaz;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;Tamamı orjinal;Takasa Uygun;Galeriden
1.075.000 TL;Audi;A3;A3 Sportback 1.6 TDI Sport Line;2016;130.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;1 değişen, 1 boyalı;Takasa Uygun Değil;Sahibinden
750.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambiente;2013;133.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;1395 cc;122 hp;Önden Çekiş;5 lt;50 lt;Tamamı orjinal;-;Sahibinden
357.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2000;379.000 km;Düz;LPG & Benzin;Hatchback/3;Lacivert;1595 cc;101 hp;Önden Çekiş;7,6 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
420.000 TL;Audi;A3;A3 Sportback 1.6 FSI;2006;278.000 km;Düz;Benzin;Hatchback/5;Kırmızı;1595 cc;115 hp;Önden Çekiş;6,5 lt;55 lt;4 boyalı;Takasa Uygun;Sahibinden
1.195.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2014;106.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
1.095.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;93.646 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
423.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2002;271.000 km;Düz;LPG & Benzin;Hatchback/5;Mavi (metalik);1595 cc;102 hp;Önden Çekiş;6,8 lt;55 lt;Belirtilmemiş;-;Sahibinden
990.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2015;110.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;Takasa Uygun Değil;Sahibinden
950.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2016;202.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;7 boyalı;-;Sahibinden
996.000 TL;Audi;A3;A3 Sedan 1.6 TDI S Line;2015;148.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
895.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;232.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;3 boyalı;Takasa Uygun;Galeriden
1.285.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2015;40.000 km;Yarı Otomatik;Dizel;Hatchback/5;Kırmızı;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.110.000 TL;Audi;A3;A3 Sedan 1.6 TDI Sport Line;2017;181.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
875.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;183.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
850.750 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2013;206.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.055.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2014;169.000 km;Otomatik;Dizel;Hatchback/5;Beyaz;1401 - 1600 cm3;101 - 125 HP;Önden Çekiş;Belirtilmemiş;-;-;Takasa Uygun;Galeriden
990.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;105.000 km;Yarı Otomatik;Dizel;Sedan;Füme;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;1 değişen, 2 boyalı;Takasa Uygun Değil;Galeriden
1.092.000 TL;Audi;A3;A3 Sportback 1.6 TDI Design Line;2017;68.489 km;Yarı Otomatik;Dizel;Hatchback/5;Mavi;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;5 boyalı;Takasa Uygun Değil;Yetkili Bayiden
570.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Ambiente;2008;217.000 km;Düz;LPG & Benzin;Hatchback/5;Siyah;1595 cc;102 hp;Önden Çekiş;6,9 lt;55 lt;1 boyalı;-;Sahibinden
695.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2009;161.000 km;Yarı Otomatik;Benzin;Hatchback/3;Beyaz;1390 cc;125 hp;Önden Çekiş;5,6 lt;55 lt;1 değişen, 3 boyalı;Takasa Uygun;Sahibinden
800.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2012;209.500 km;Yarı Otomatik;Benzin;Hatchback/5;Siyah;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;2 değişen, 6 boyalı;Takasa Uygun;Sahibinden
450.000 TL;Audi;A3;A3 Sportback 1.8 T Attraction;2001;240.000 km;Otomatik;LPG & Benzin;Hatchback/3;Mavi;1781 cc;150 hp;Önden Çekiş;8,2 lt;55 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
1.511.000 TL;Audi;A3;A3 Sportback 35 TFSI Advanced;2023;6.150 km;Yarı Otomatik;Hibrit;Hatchback/5;Beyaz;1498 cc;150 hp;Önden Çekiş;5 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
890.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2014;150.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;2 değişen, 2 boyalı;Takasa Uygun Değil;Sahibinden
1.475.000 TL;Audi;A3;A3 Sportback 35 TFSI Dynamic;2020;29.000 km;Yarı Otomatik;Benzin;Hatchback/5;Füme;1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
910.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2015;280.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;Takasa Uygun;Sahibinden
790.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambiente;2010;260.000 km;Yarı Otomatik;LPG & Benzin;Hatchback/5;Gri;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.380.000 TL;Audi;A3;A3 Sportback 35 TFSI Dynamic;2020;63.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.350.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2016;230.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.275.000 TL;Audi;A3;A3 Sedan 35 TFSI Dynamic;2020;85.000 km;Yarı Otomatik;Benzin;Sedan;Mavi;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;1 değişen, 3 boyalı;Takasa Uygun;Galeriden
485.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2004;301.000 km;Otomatik;LPG & Benzin;Hatchback/3;Gri (Gümüş);1595 cc;101 hp;Önden Çekiş;8,6 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
590.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Standart;2006;228.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;12 boyalı;Takasa Uygun;Galeriden
950.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;250.000 km;Yarı Otomatik;Dizel;Sedan;Gri (metalik);1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;Takasa Uygun;Galeriden
1.458.000 TL;Audi;A3;A3 Sedan 35 TFSI Advanced;2021;69.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1498 cc;150 hp;-;Belirtilmemiş;-;-;Takasa Uygun;Galeriden
1.290.000 TL;Audi;A3;A3 Sedan 35 TFSI Advanced;2022;17.000 km;Yarı Otomatik;Benzin;Sedan;Füme;1498 cc;150 hp;Önden Çekiş;Belirtilmemiş;-;-;Takasa Uygun Değil;Galeriden
1.225.000 TL;Audi;A3;A3 Sedan 1.6 TDI S Line;2014;105.000 km;Yarı Otomatik;Dizel;Sedan;Füme;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.125.000 TL;Audi;A3;A3 Sedan 1.6 TDI S Line;2014;225.000 km;Yarı Otomatik;Dizel;Sedan;Gri (metalik);1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
1.200.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Dynamic;2018;50.600 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
695.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2011;125.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
710.000 TL;Audi;A3;A3 Sportback 1.6 Attraction;2007;206.000 km;Otomatik;LPG & Benzin;Hatchback/5;Gri;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;Tamamı orjinal;Takasa Uygun;Sahibinden
1.200.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2015;173.000 km;Yarı Otomatik;Dizel;Sedan;Mor;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;1 boyalı;Takasa Uygun;Galeriden
650.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2011;282.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;2 değişen, 7 boyalı;Takasa Uygun Değil;Sahibinden
1.040.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2016;106.600 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;-;Sahibinden
510.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2006;240.000 km;Otomatik;LPG & Benzin;Hatchback/3;Gri (Gümüş);1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;Belirtilmemiş;-;Sahibinden
650.000 TL;Audi;A3;A3 Sportback 1.6 Ambition;2010;320.000 km;Yarı Otomatik;LPG & Benzin;Hatchback/3;Beyaz;1595 cc;102 hp;Önden Çekiş;6,7 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.050.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2014;167.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;1 değişen, 1 boyalı;Takasa Uygun Değil;Sahibinden
970.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2015;129.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.035.000 TL;Audi;A3;A3 Sedan 1.5 TFSI Dynamic;2020;84.000 km;Yarı Otomatik;Benzin;Sedan;Gri;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;3 değişen, 1 boyalı;Takasa Uygun Değil;Galeriden
810.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2013;222.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;7 boyalı;Takasa Uygun Değil;Sahibinden
970.000 TL;Audi;A3;A3 Sedan 1.4 TFSI Ambition;2013;133.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1395 cc;140 hp;Önden Çekiş;4,7 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
987.000 TL;Audi;A3;A3 Sedan 1.4 TFSI Ambiante;2015;161.000 km;Yarı Otomatik;Benzin;Sedan;Siyah;1395 cc;125 hp;Önden Çekiş;4,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.098.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2016;187.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.248.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;130.000 km;Yarı Otomatik;Dizel;Sedan;Gri;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
